index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
2506,195.3903,4.450192,0.28143522,0.0,0,9.6938629,0.0,0.01870436,55.664017,9.7773676,453.01917,-9.2334385
2507,195.3905,4.4588594,0.27994326,0.0,0,9.6908627,0.0,0.019025221,55.74427,9.7753019,453.07056,-9.2333612
2508,195.3907,4.4706931,0.28477547,0.0,0,9.6878614,0.0,0.01913067,55.825672,9.7716494,453.12195,-9.233511
2509,195.3909,4.4823813,0.28935027,0.0,0,9.6848621,0.0,0.019229962,55.966309,9.7679911,453.17334,-9.233634
2510,195.3911,4.4907465,0.28632715,0.0,0,9.6818628,0.0,0.0194609,56.09594,9.7667255,453.22473,-9.2330561
2511,195.3913,4.4938054,0.29103935,0.0,0,9.6788626,0.0,0.019617399,56.105137,9.7630081,453.27615,-9.2329769
2512,195.3915,4.496995,0.29766706,0.0,0,9.6758623,0.0,0.019722883,56.141529,9.7568884,453.32755,-9.2330914
2513,195.3917,4.5006375,0.29421991,0.0,0,9.6728621,0.0,0.019910162,56.209637,9.7530661,453.37894,-9.2327538
2514,195.3919,4.4942727,0.29919866,0.0,0,9.6698627,0.0,0.020156179,56.104481,9.7525368,453.43033,-9.233201
2515,195.3921,4.4871902,0.30777121,0.0,0,9.6668625,0.0,0.020346086,55.971691,9.7501678,453.48175,-9.2336931
2516,195.3923,4.4917355,0.3044796,0.0,0,9.6638622,0.0,0.020555299,55.966461,9.7469368,453.53314,-9.2331152
2517,195.3925,4.4985213,0.30877152,0.0,0,9.660862,0.0,0.020875812,56.031647,9.7466679,453.58453,-9.2331619
2518,195.3927,4.5063934,0.31756887,0.0,0,9.6578627,0.0,0.02104363,56.138321,9.7453785,453.63593,-9.2330837
2519,195.3929,4.519979,0.31438279,0.0,0,9.6548624,0.0,0.021141831,56.291752,9.7424116,453.68732,-9.2323942
2520,195.3931,4.5314755,0.31780753,0.0,0,9.6518631,0.0,0.021516273,56.431351,9.7371006,453.73874,-9.2328386
2521,195.3933,4.5353894,0.32596165,0.0,0,9.6488628,0.0,0.021668496,56.494678,9.7326727,453.79013,-9.2323141
2522,195.3935,4.5396771,0.32191789,0.0,0,9.6458626,0.0,0.021648897,56.469276,9.7329149,453.84152,-9.2322922
2523,195.3937,4.5372272,0.32435447,0.0,0,9.6428623,0.0,0.022073224,56.432442,9.7280245,453.88876,-9.2333622
2524,195.3939,4.5294828,0.33317307,0.0,0,9.6398621,0.0,0.022253418,56.421661,9.7214384,453.89893,-9.233613
2525,195.3941,4.5283961,0.33049276,0.0,0,9.6368618,0.0,0.022187296,56.395809,9.7209787,453.90909,-9.2337894
2526,195.3943,4.5198717,0.33323765,0.0,0,9.6338625,0.0,0.022642812,56.286118,9.7210464,453.91925,-9.2342968
2527,195.3945,4.5167899,0.34167516,0.0,0,9.6308622,0.0,0.022846552,56.253269,9.7185202,453.92941,-9.2343178
2528,195.3947,4.5279784,0.33877909,0.0,0,9.6278629,0.0,0.02269691,56.35511,9.7135572,453.93958,-9.2334414
2529,195.3949,4.5379815,0.34155008,0.0,0,9.6248627,0.0,0.023233548,56.429386,9.7097626,453.94974,-9.2334013
2530,195.3951,4.5482721,0.3505629,0.0,0,9.6218624,0.0,0.023569344,56.527195,9.7087393,453.9599,-9.233099
2531,195.3953,4.5577135,0.34928221,0.0,0,9.6188622,0.0,0.023362953,56.626591,9.704546,453.97006,-9.2325096
2532,195.3955,4.5617342,0.35208705,0.0,0,9.6158628,0.0,0.023849364,56.644142,9.6992826,453.98022,-9.2330875
2533,195.3957,4.5628257,0.36028111,0.0,0,9.6128626,0.0,0.024257006,56.652576,9.6963797,453.99039,-9.2337484
2534,195.3959,4.5635448,0.36008617,0.0,0,9.6098623,0.0,0.024046464,56.695408,9.6953096,454.00055,-9.2331724
2535,195.3961,4.5602303,0.36130834,0.0,0,9.6068621,0.0,0.024488835,56.653915,9.692028,454.01071,-9.2332325
2536,195.3963,4.5537167,0.36754793,0.0,0,9.6038628,0.0,0.024916599,56.569889,9.6866207,454.02087,-9.233304
2537,195.3965,4.552701,0.36879206,0.0,0,9.6008625,0.0,0.024703238,56.538105,9.6849318,454.03104,-9.2325869
2538,195.3967,4.5654902,0.37011057,0.0,0,9.5978622,0.0,0.025042733,56.658531,9.6841068,454.04117,-9.2326393
2539,195.3969,4.5785265,0.37492633,0.0,0,9.594862,0.0,0.025422392,56.855293,9.6793633,454.05133,-9.2334013
2540,195.3971,4.5890341,0.37677851,0.0,0,9.5918627,0.0,0.025247315,57.010239,9.6747637,454.06149,-9.2345009
